Name,Longitude,Latitude,StartTime,EndTime
Hà Nội,105.854,21.0283,8,12
Hà Nam,105.981,20.534,8,12
Ninh Bình,105.975,20.2421,8,12
Hưng Yên,106.284,20.6066,8,12
Thái Bình,106.594,20.4031,8,12
Nam Định,106.486,19.9953,8,12
Thanh Hóa,105.578,19.924,8,12
Thừa Thiên Huế,107.69,16.553,8,12
Đà Nẵng,108.212,16.068,8,12
Quảng Ngãi,108.692,14.9954,8,12
Kon Tum,107.932,14.6995,8,12
Gia Lai,108.635,14.0201,8,12
Bình Định,109.114,14.1092,8,12
Phú Yên,109.239,13.1999,8,12
Đắk Lắk,108.798,12.8742,8,12
Đắk Nông,107.743,12.2807,8,12
Lâm Đồng,108.134,11.6615,8,12
Quảng Nam,108.431,11.9537,8,12
Khánh Hòa,108.995,12.2981,8,12
Ninh Thuận,109.132,11.4639,8,12
Bình Thuận,108.003,10.9686,8,12
Long An,107.201,10.4808,8,12
Bà Rịa - Vũng Tàu,107.084,10.3668,8,12
Bến Tre,106.734,9.88374,8,12
Trà Vinh,106.531,9.58152,8,12
Sóc Trăng,106.106,9.32038,8,12
Hậu Giang,105.639,9.78813,8,12
Bạc Liêu,105.697,8.89614,8,12
Cà Mau,105.087,9.01802,8,12
Kiên Giang,104.473,9.76675,8,12
An Giang,105.043,10.3189,8,12
Tiền Giang,105.303,10.7804,8,12
Cần Thơ,105.788,10.0365,8,12
Vĩnh Long,106.295,10.0468,8,12
Đồng Tháp,105.927,10.4252,8,12
Tây Ninh,106.261,11.0801,8,12
TP. Hồ Chí Minh,106.701,10.7764,8,12
Bình Dương,106.674,11.1826,8,12
Đồng Nai,107.162,11.4285,8,12
Bình Phước,106.915,11.8,8,12
Quảng Trị,106.662,17.3025,8,12
Quảng Bình,106.623,17.5157,8,12
Hà Tĩnh,105.885,18.3379,8,12
Nghệ An,105.061,19.1976,8,12
Sơn La,104.158,21.2277,8,12
Điện Biên,103.284,21.7204,8,12
Lai Châu,103.18,22.2922,8,12
Lào Cai,104.183,22.3069,8,12
Hà Giang,104.95,22.8168,8,12
Cao Bằng,106.106,22.7427,8,12
Bắc Kạn,105.856,22.2729,8,12
Lạng Sơn,106.614,21.8488,8,12
Quảng Ninh,107.201,21.1718,8,12
Hải Phòng,106.675,20.8589,8,12
Hải Dương,106.36,20.9603,8,12
Bắc Ninh,106.463,21.3282,8,12
Bắc Giang,106.466,21.374,8,12
Thái Nguyên,105.844,21.9611,8,12
Tuyên Quang,105.072,22.3382,8,12
Yên Bái,104.518,21.8091,8,12
Phú Thọ,105.135,21.3008,8,12
Hòa Bình,105.258,20.7091,8,12
Vĩnh Phúc,105.81,21.0422,8,12
Hà Nội,105.854,21.0283,8,12
